,userid,friendid
0,0,1711
1,0,354
2,0,44
3,0,9
4,0,282
5,0,663
6,0,33
7,0,244
8,0,158
9,0,1595
10,0,1523
11,0,66
12,0,327
13,0,107
14,0,28
15,0,1028
16,0,2
17,0,584
18,0,221
19,0,8
20,0,1150
21,0,346
22,0,55
23,0,760
24,0,281
25,0,6
26,0,1817
27,0,13
28,0,2436
29,0,195
30,0,196
31,0,47
32,0,46
33,0,621
34,0,143
35,0,2334
36,0,520
37,0,57
38,0,73
39,0,39
40,0,29
41,0,11
42,0,34
43,0,268
44,0,650
45,0,1213
46,0,352
47,0,2612
48,0,17
49,0,729
50,0,87
51,0,72
52,0,14
53,0,12
54,0,4
55,0,182
56,0,10
57,0,1635
58,0,155
59,0,115
60,0,1029
61,0,119
62,0,30
63,0,2006
64,1,572
65,1,520
66,1,435
67,1,138
68,1,371
69,1,372
70,1,44
71,1,283
72,1,46
73,1,261
74,1,254
75,1,114
76,1,141
77,1,119
78,1,95
79,1,126
80,1,8
81,1,4
82,1,3
83,1,0
84,1,2
85,2,2757
86,2,2621
87,2,1696
88,2,1612
89,2,167
90,2,65
91,2,1540
92,2,1061
93,2,219
94,2,534
95,2,511
96,2,324
97,2,66
98,2,8
99,2,13
100,2,0
101,2,2145
102,2,2705
103,2,650
104,2,2571
105,2,2814
106,2,2764
107,2,2160
108,2,1344
109,2,2119
110,2,1478
111,2,1417
112,2,884
113,2,1969
114,2,899
115,2,1778
116,2,585
117,2,147
118,2,1615
119,2,174
120,2,1272
121,2,433
122,2,609
123,2,68
124,2,407
125,2,622
126,2,586
127,2,387
128,2,182
129,2,118
130,2,607
131,2,395
132,2,110
133,2,194
134,2,267
135,2,173
136,2,270
137,2,241
138,2,48
139,2,208
140,2,64
141,2,43
142,2,156
143,2,46
144,2,16
145,2,103
146,2,141
147,2,24
148,2,1
149,2,222
150,3,2621
151,3,8
152,3,1028
153,3,650
154,3,0
155,3,1123
156,3,1577
157,3,119
158,3,135
159,3,99
160,3,48
161,3,93
162,3,66
163,3,4
164,3,79
165,3,1
166,3,24
167,3,58
168,3,43
169,4,507
170,4,207
171,4,6
172,4,2126
173,4,72
174,4,2650
175,4,352
176,4,46
177,4,1
178,4,0
179,4,2621
180,4,1612
181,4,1417
182,4,60
183,4,1073
184,4,104
185,4,17
186,5,198
187,5,932
188,5,258
189,5,120
190,5,375
191,5,1589
192,5,2657
193,5,2395
194,5,1691
195,5,64
196,5,323
197,5,240
198,5,283
199,5,1268
200,5,253
201,6,1620
202,6,2214
203,6,165
204,6,352
205,6,437
206,6,153
207,6,421
208,6,66
209,6,1073
210,6,9
211,6,1521
212,6,269
213,6,178
214,6,17
215,6,16
216,6,0
217,6,15
218,6,268
219,6,2587
220,6,72
221,6,1635
222,6,780
223,6,30
224,6,381
225,6,1802
226,6,998
227,6,387
228,6,334
229,6,615
230,6,207
231,6,892
232,6,1035
233,6,621
234,6,519
235,6,754
236,6,28
237,6,2006
238,6,743
239,6,938
240,6,2717
241,6,34
242,6,1029
243,7,6
244,7,197
245,7,421
246,7,1927
247,8,2161
248,8,1706
249,8,1028
250,8,560
251,8,1211
252,8,973
253,8,2167
254,8,142
255,8,1722
256,8,1874
257,8,146
258,8,701
259,8,63
260,8,519
261,8,1247
262,8,354
263,8,669
264,8,132
265,8,3
266,8,281
267,8,1134
268,8,2621
269,8,739
270,8,282
271,8,13
272,8,1468
273,8,1106
274,8,44
275,8,2436
276,8,371
277,8,617
278,8,191
279,8,644
280,8,119
281,8,2412
282,8,1917
283,8,990
284,8,103
285,8,240
286,8,66
287,8,73
288,8,729
289,8,61
290,8,2334
291,8,2024
292,8,1675
293,8,283
294,8,1148
295,8,2
296,8,663
297,8,220
298,8,34
299,8,341
300,8,17
301,8,72
302,8,1817
303,8,650
304,8,352
305,8,261
306,8,507
307,8,372
308,8,47
309,8,2612
310,8,0
311,8,2655
312,8,46
313,8,1268
314,8,115
315,8,2267
316,8,1246
317,8,887
318,8,1042
319,8,2126
320,8,2454
321,8,2257
322,8,271
323,8,2408
324,8,2234
325,8,1291
326,8,1320
327,8,2790
328,8,350
329,8,2691
330,8,269
331,8,1635
332,8,86
333,8,1120
334,8,255
335,8,1711
336,8,670
337,8,1966
338,8,1209
339,8,621
340,8,2332
341,8,1139
342,8,6
343,8,1755
344,8,853
345,8,750
346,8,749
347,8,1793
348,8,2133
349,8,182
350,9,315
351,9,168
352,9,1500
353,9,477
354,9,1073
355,9,1347
356,9,2700
357,9,2334
358,9,6
359,9,1156
360,9,304
361,9,2757
362,9,2621
363,9,2587
364,9,1917
365,9,1907
366,9,1655
367,9,1612
368,9,1515
369,9,502
370,9,1183
371,9,938
372,9,641
373,9,621
374,9,312
375,9,268
376,9,281
377,9,211
378,9,203
379,9,196
380,9,158
381,9,145
382,9,146
383,9,136
384,9,108
385,9,107
386,9,73
387,9,87
388,9,47
389,9,33
390,9,40
391,9,39
392,9,34
393,9,15
394,9,11
395,9,0
396,9,991
397,9,1029
398,9,131
399,9,279
400,9,122
401,9,96
402,9,67
403,9,30
404,9,29
405,9,28
406,9,25
407,9,23
408,9,14
409,9,12
410,9,10
411,9,2539
412,10,1132
413,10,47
414,10,1431
415,10,1124
416,10,2582
417,10,1890
418,10,62
419,10,730
420,10,324
421,10,802
422,10,38
423,10,1251
424,10,1481
425,10,298
426,10,193
427,10,215
428,10,25
429,10,1780
430,10,1828
431,10,2075
432,10,53
433,10,67
434,10,279
435,10,784
436,10,1103
437,10,644
438,10,1338
439,10,2392
440,10,1106
441,10,952
442,10,1144
443,10,108
444,10,385
445,10,2775
446,10,499
447,10,934
448,10,1271
449,10,2065
450,10,1375
451,10,1015
452,10,0
453,10,46
454,10,2056
455,10,1610
456,10,1268
457,10,164
458,10,115
459,10,103
460,10,55
461,10,101
462,10,82
463,10,28
464,10,12
465,10,30
466,10,17
467,10,9
468,10,2599
469,10,268
470,10,2334
471,10,2164
472,10,1938
473,10,14
474,10,1356
475,10,236
476,10,640
477,10,143
478,10,118
479,10,327
480,10,66
481,10,15
482,10,16
483,11,186
484,11,122
485,11,1981
486,11,269
487,11,346
488,11,146
489,11,281
490,11,621
491,11,960
492,11,136
493,11,520
494,11,96
495,11,327
496,11,212
497,11,53
498,11,73
499,11,15
500,11,39
501,11,268
502,11,47
503,11,34
504,11,87
505,11,0
506,11,8
507,11,72
508,12,47
509,12,327
510,12,268
511,12,146
512,12,145
513,12,73
514,12,16
515,12,15
516,12,143
517,12,28
518,12,157
519,12,67
520,12,112
521,12,0
522,12,10
523,12,9
524,13,155
525,13,2680
526,13,8
527,13,650
528,13,2
529,13,589
530,13,17
531,13,352
532,13,61
533,13,2163
534,13,2612
535,13,46
536,13,0
537,13,2587
538,13,2621
539,13,105
540,13,958
541,13,2794
542,13,1618
543,13,363
544,13,229
545,13,187
546,13,194
547,13,115
548,13,381
549,14,137
550,14,47
551,14,158
552,14,2197
553,14,46
554,14,352
555,14,1780
556,14,2612
557,14,1477
558,14,30
559,14,729
560,14,15
561,14,1148
562,14,268
563,14,225
564,14,39
565,14,29
566,14,1046
567,14,2454
568,14,1678
569,14,34
570,14,1595
571,14,73
572,14,960
573,14,12
574,14,284
575,14,6
576,14,27
577,14,2499
578,14,1353
579,14,743
580,14,1004
581,14,71
582,14,756
583,14,60
584,14,407
585,14,55
586,14,1713
587,14,327
588,14,250
589,14,192
590,14,95
591,14,28
592,14,0
593,14,9
594,14,767
595,14,2277
596,14,1693
597,14,1103
598,14,1435
599,14,275
600,14,605
601,14,156
602,14,484
603,14,453
604,14,655
605,14,2025
606,14,1906
607,14,58
608,14,1578
609,14,1246
610,14,2615
611,14,2510
612,14,19
613,14,53
614,14,236
615,14,131
616,14,746
617,14,1832
618,14,2643
619,14,2089
620,14,1746
621,14,680
622,14,20
623,14,1734
624,14,2657
625,14,1994
626,14,2164
627,14,385
628,14,1309
629,14,2432
630,14,1466
631,14,16
632,14,1631
633,14,143
634,14,1310
635,14,1876
636,14,23
637,14,650
638,14,1515
639,14,86
640,14,1431
641,14,1879
642,14,1481
643,14,285
644,14,1124
645,14,1346
646,14,1519
647,14,2458
648,14,2005
649,14,2340
650,14,493
651,14,419
652,14,211
653,14,1907
654,14,145
